distance,size,num_of_rooms,floor,price
347,232,7,5,1200000
8751,115,5,3,206800
2801,45,2,3,159000
2976,32,1,1,119000
4272,33,1,7,111000
3763,33,1,6,110000
2402,109,4,4,725400
2402,114,4,4,325000
5302,96,4,3,250000
7014,105,4,5,215000
2462,164,4,2,495000
672,117,4,2,400000
2976,63,2,2,225000
3763,162,6,3,456000
4544,257,5,11,1150000
1540,101,4,2,695000
2462,107,4,3,330000
6660,66,2,13,150000
2172,53,2,8,160000
3381,73,2,0,129000
5980,84,4,7,134400
2462,47,2,0,122000
2801,100,4,6,259000
2402,88,4,1,249000
2801,126,4,3,395000
3062,137,4,5,642381
2462,131,4,1,551418
2462,121,4,1,507192
2402,153,4,2,689490
7014,105,4,5,215000
2402,158,4,1,712440
3091,87,4,9,250000
5678,81,3,3,209000
2174,66,3,4,205000
3062,65,3,4,230000
2174,80,3,-1,199000
672,66,3,1,294500
4181,129,3,0,185000
2402,132,3,1,410000
1658,53,2,14,290000
5678,76,2,4,218000
1540,100,2,2,380000
3381,90,3,1,250000
4181,83,3,2,260000
4544,187,4,7,810000
3062,91,4,1,300300
3381,94,4,7,216000
7014,105,4,5,215000
2462,120,5,4,474000
6660,89,4,7,214900
2801,86,4,1,325000
5302,96,4,3,250000
2402,118,5,2,295000
1540,291,5,4,920000
1540,85,4,1,230000
3763,37,2,1,170000
2402,51,2,6,220000
2645,44,2,1,169000
3230,37,2,1,170000
603,47,2,6,175000
2645,44,2,1,175000
2451,300,9,6,793000
6554,60,2,2,162000
3091,57,3,6,137000
603,30,1,6,116000
4688,36,1,5,157000
347,107,3,1,270000
1658,54,2,16,290000
1658,54,2,15,290000
3763,100,4,3,240000
2503,119,4,7,290000
2402,61,2,1,235000
1540,89,3,2,270000
347,90,4,5,229000
3200,82,3,5,205000
3062,79,3,4,320000
2783,70,3,4,259000
5302,87,3,7,220000
3796,86,3,1,219000
2402,83,3,4,235000
1658,82,3,23,420000
2645,77,3,3,258000
1540,77,3,5,199000
5302,82,3,2,200000
7014,112,3,18,205000
4462,68,3,5,199000
5302,64,3,12,191900
2783,60,3,11,240000
4553,73,3,2,162000
6554,70,3,4,163000
6660,104,2,0,200000
7014,66,3,2,178000
6660,92,3,10,250000
347,61,3,3,175000
2801,86,3,1,325000
1540,100,3,2,380000
2402,82,3,1,295000
1540,165,5,2,850000
3763,157,5,3,419000
5302,95,4,10,225000
3511,78,3,7,210000
2783,85,4,10,224000
5302,96,4,10,225000
5302,98,4,1,235000
2174,84,4,3,210000
3091,91,4,3,248800
2801,86,4,1,275000
5302,96,4,3,250000
2976,162,5,4,517000
3763,87,4,3,240000
4546,62,3,9,209000
1658,73,3,9,438000
5678,81,3,7,170000
6554,72,3,3,190000
7014,63,3,12,162000
4593,78,3,1,179000
6554,88,3,14,176000
347,110,3,4,330000
3230,94,3,2,280000
603,71,3,4,245000
6660,59,3,5,148000
3230,75,3,3,240000
4593,78,3,1,179000
3230,87,3,2,289000
3230,112,4,5,336000
4544,103,4,5,435000
2462,135,4,1,380000
5980,200,6,6,450000
2402,120,4,4,541350
1658,67,2,4,322888
